StartTime: 2025-12-15 06:15:24.386
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
0x50	 06:15:24.386	 2024-05-02 22:31:13.602	-0.9004	-0.1519	-0.3643	3.7842	2.9297	1.0986	-156.5717	66.4948	-54.5306	27.01	870	-1075	7114	4093	2656	2106	1779	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39673	0.67697	-0.47406	-0.39932	0	0.00	0.00	0.00
0x50	 06:15:24.386	 2024-05-02 22:31:13.612	-0.9004	-0.1514	-0.3726	4.6387	3.2349	1.2207	-156.5881	66.4673	-54.5911	27.08	866	-1077	7118	4093	2664	2096	1777	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39679	0.67691	-0.47437	-0.39902	0	0.00	0.00	0.00
0x50	 06:15:24.386	 2024-05-02 22:31:13.622	-0.9063	-0.1436	-0.3657	5.5542	3.6621	1.2207	-156.5936	66.4398	-54.6570	27.20	864	-1074	7124	4093	2670	2099	1779	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39688	0.67682	-0.47473	-0.39862	0	0.00	0.00	0.00
0x50	 06:15:24.430	 2024-05-02 22:31:13.632	-0.9063	-0.1382	-0.3882	5.2490	5.2490	1.1597	-156.6156	66.4014	-54.7339	27.08	863	-1068	7132	4093	2649	2092	1776	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39694	0.67673	-0.47516	-0.39819	0	0.00	0.00	0.00
0x50	 06:15:24.430	 2024-05-02 22:31:13.642	-0.9224	-0.1357	-0.3589	4.4556	3.7231	0.5493	-156.6266	66.3739	-54.7943	27.08	863	-1065	7135	4094	2675	2094	1773	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39703	0.67667	-0.47552	-0.39783	0	0.00	0.00	0.00
0x50	 06:15:24.430	 2024-05-02 22:31:13.652	-0.9282	-0.1411	-0.3623	4.0894	3.4180	0.3052	-156.6321	66.3464	-54.8438	27.01	865	-1067	7136	4094	2682	2096	1772	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39709	0.67664	-0.47580	-0.39749	0	0.00	0.00	0.00
0x50	 06:15:24.430	 2024-05-02 22:31:13.662	-0.9365	-0.1401	-0.3408	3.3569	3.4790	0.1831	-156.6376	66.3135	-54.8822	27.08	864	-1065	7136	4093	2665	2094	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39713	0.67664	-0.47604	-0.39716	0	0.00	0.00	0.00
0x50	 06:15:24.433	 2024-05-02 22:31:13.672	-0.9419	-0.1387	-0.3599	1.9531	2.0142	-0.6714	-156.6266	66.2915	-54.8932	27.20	861	-1062	7138	4094	2658	2094	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39716	0.67667	-0.47617	-0.39694	0	0.00	0.00	0.00
0x50	 06:15:24.443	 2024-05-02 22:31:13.682	-0.9434	-0.1367	-0.3633	1.0376	1.6479	-1.0986	-156.6156	66.2750	-54.8932	27.08	858	-1052	7137	4094	2677	2096	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39719	0.67670	-0.47620	-0.39679	0	0.00	0.00	0.00
0x50	 06:15:24.453	 2024-05-02 22:31:13.692	-0.9414	-0.1392	-0.3608	-0.4272	0.7935	-1.3428	-156.6046	66.2640	-54.8767	27.01	857	-1044	7135	4094	2660	2092	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39719	0.67676	-0.47617	-0.39673	0	0.00	0.00	0.00
0x50	 06:15:24.463	 2024-05-02 22:31:13.702	-0.9370	-0.1377	-0.3613	-2.1362	0.4883	-1.2817	-156.6101	66.2585	-54.8602	27.08	856	-1043	7131	4093	2714	2111	1779	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39709	0.67688	-0.47604	-0.39676	0	0.00	0.00	0.00
0x50	 06:15:24.473	 2024-05-02 22:31:13.712	-0.9233	-0.1406	-0.3657	-3.1128	0.0000	-1.1597	-156.6211	66.2585	-54.8383	27.01	853	-1045	7130	4093	2662	2101	1778	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39694	0.67703	-0.47586	-0.39688	0	0.00	0.00	0.00
0x50	 06:15:24.483	 2024-05-02 22:31:13.722	-0.9102	-0.1445	-0.3770	-2.0142	0.2441	-0.1831	-156.6431	66.2585	-54.8383	26.95	854	-1046	7129	4094	2739	2093	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.39679	0.67709	-0.47577	-0.39697	0	0.00	0.00	0.00
