StartTime: 2025-12-15 06:11:21.808
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
0x50	 06:11:21.808	 2024-05-02 22:27:12.682	-0.6528	0.5166	-0.1294	72.8760	-8.4839	-0.7324	128.6993	63.2758	-71.8231	23.73	1450	-8662	3039	4093	2643	2093	1775	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.02124	-0.75476	0.26630	0.59906	0	0.00	0.00	0.00
0x50	 06:11:21.809	 2024-05-02 22:27:12.692	-0.7021	0.4175	-0.2661	68.6035	-11.9019	-5.3711	129.2377	63.3691	-71.9879	23.54	1458	-8652	3107	4094	2663	2093	1777	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.01630	-0.75430	0.26968	0.59824	0	0.00	0.00	0.00
0x50	 06:11:21.809	 2024-05-02 22:27:12.702	-0.6182	0.4609	-0.4263	80.5054	-14.9536	-4.1504	129.7870	63.4735	-72.1912	23.80	1466	-8638	3175	4094	2676	2095	1774	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.01105	-0.75375	0.27341	0.59741	0	0.00	0.00	0.00
0x50	 06:11:21.809	 2024-05-02 22:27:12.712	-0.6729	0.3882	-0.4399	79.7119	-6.6528	-11.2915	130.5560	63.5779	-72.1967	23.92	1474	-8623	3243	4094	2674	2095	1774	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.00540	-0.75363	0.27689	0.59601	0	0.00	0.00	0.00
0x50	 06:11:21.816	 2024-05-02 22:27:12.722	-0.7407	0.3965	-0.4438	72.5098	-0.0610	-14.8315	131.4459	63.6658	-71.9824	23.86	1483	-8607	3312	4092	2680	2093	1771	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.00018	-0.75403	0.27969	0.59421	0	0.00	0.00	0.00
0x50	 06:11:21.825	 2024-05-02 22:27:12.732	-0.7500	0.4424	-0.3423	68.1152	8.9722	-22.2168	132.4951	63.7317	-71.5430	23.80	1494	-8593	3380	4093	2650	2098	1777	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	0.00479	-0.75497	0.28189	0.59195	0	0.00	0.00	0.00
0x50	 06:11:21.873	 2024-05-02 22:27:12.742	-0.7744	0.4810	-0.3130	65.0635	16.5405	-24.9634	133.6652	63.7701	-70.9222	23.80	1503	-8577	3445	4093	2676	2093	1773	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	0.00952	-0.75638	0.28363	0.58926	0	0.00	0.00	0.00
0x50	 06:11:21.873	 2024-05-02 22:27:12.752	-0.7412	0.4873	-0.2471	59.2041	19.4092	-27.8320	134.8846	63.7976	-70.1971	23.86	1510	-8559	3508	4094	2645	2116	1780	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	0.01398	-0.75803	0.28497	0.58643	0	0.00	0.00	0.00
0x50	 06:11:21.873	 2024-05-02 22:27:12.762	-0.7285	0.4980	-0.2334	58.6548	17.4561	-27.8931	136.0657	63.8196	-69.4885	23.86	1518	-8537	3573	4094	2683	2095	1773	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.01831	-0.75955	0.28622	0.58368	0	0.00	0.00	0.00
0x50	 06:11:21.873	 2024-05-02 22:27:12.772	-0.7231	0.4526	-0.1865	62.8662	17.6392	-30.0903	137.2687	63.8525	-68.7909	23.80	1532	-8511	3637	4093	2677	2094	1775	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.02292	-0.76102	0.28754	0.58096	0	0.00	0.00	0.00
0x50	 06:11:21.876	 2024-05-02 22:27:12.782	-0.7153	0.4116	-0.1973	66.5283	17.0288	-33.7524	138.5431	63.9075	-68.0438	23.80	1549	-8482	3697	4094	2664	2094	1774	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.02792	-0.76251	0.28876	0.57819	0	0.00	0.00	0.00
0x50	 06:11:21.885	 2024-05-02 22:27:12.792	-0.7402	0.4111	-0.2021	67.9321	14.1602	-37.7808	139.8560	63.9954	-67.2803	23.86	1566	-8452	3753	4093	2670	2094	1773	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.03329	-0.76389	0.28989	0.57553	0	0.00	0.00	0.00
0x50	 06:11:21.895	 2024-05-02 22:27:12.802	-0.7915	0.4438	-0.1777	68.4204	12.2070	-42.1143	141.2183	64.1272	-66.4728	23.92	1588	-8423	3808	4094	2678	2093	1772	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.03900	-0.76520	0.29077	0.57294	0	0.00	0.00	0.00
0x50	 06:11:21.906	 2024-05-02 22:27:12.812	-0.8882	0.4839	-0.1406	65.7959	9.5825	-43.0298	142.5531	64.2810	-65.6818	23.86	1615	-8393	3866	4093	2660	2099	1774	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.04477	-0.76636	0.29147	0.57062	0	0.00	0.00	0.00
0x50	 06:11:21.916	 2024-05-02 22:27:12.822	-0.9243	0.5039	-0.1099	58.1665	8.4839	-43.5181	143.8110	64.4403	-64.9182	23.86	1639	-8359	3926	4093	2652	2094	1776	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.05020	-0.76740	0.29187	0.56857	0	0.00	0.00	0.00
0x50	 06:11:21.926	 2024-05-02 22:27:12.832	-0.9873	0.5405	-0.0303	44.0063	7.0190	-40.8936	144.9097	64.6051	-64.1986	23.73	1664	-8323	3980	4094	2667	2095	1774	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.05475	-0.76831	0.29178	0.56696	0	0.00	0.00	0.00
0x50	 06:11:21.936	 2024-05-02 22:27:12.842	-0.9443	0.6362	0.0176	27.9541	-0.6714	-33.3862	145.6183	64.7864	-63.7207	23.86	1687	-8285	4033	4093	2676	2096	1773	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.05807	-0.76871	0.29132	0.56635	0	0.00	0.00	0.00
0x50	 06:11:21.946	 2024-05-02 22:27:12.852	-0.8701	0.6929	-0.0806	26.4893	-11.5356	-22.5220	145.9644	64.9896	-63.5724	23.86	1710	-8250	4087	4094	2673	2094	1773	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.06064	-0.76834	0.29120	0.56662	0	0.00	0.00	0.00
0x50	 06:11:21.956	 2024-05-02 22:27:12.862	-0.7988	0.6890	-0.2988	48.4619	-28.1982	-9.8267	146.0742	65.2533	-63.8965	23.80	1737	-8217	4131	4093	2681	2092	1772	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.06424	-0.76678	0.29279	0.56750	0	0.00	0.00	0.00
0x50	 06:11:21.966	 2024-05-02 22:27:12.872	-0.7876	0.7124	-0.4214	60.4248	-37.0483	-0.1221	146.0083	65.5334	-64.5721	23.61	1766	-8186	4167	4092	2654	2090	1779	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.06854	-0.76434	0.29581	0.56876	0	0.00	0.00	0.00
0x50	 06:11:21.978	 2024-05-02 22:27:12.882	-0.8779	0.7153	-0.5732	67.7490	-44.7998	11.9019	145.7007	65.8081	-65.5829	23.80	1796	-8159	4200	4093	2655	2093	1775	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.07288	-0.76117	0.29984	0.57034	0	0.00	0.00	0.00
0x50	 06:11:22.032	 2024-05-02 22:27:12.892	-0.8560	0.7798	-0.7471	62.9272	-42.3584	17.9443	145.2338	66.0333	-66.7694	23.86	1820	-8137	4233	4092	2662	2095	1776	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.07681	-0.75775	0.30444	0.57196	0	0.00	0.00	0.00
0x50	 06:11:22.034	 2024-05-02 22:27:12.902	-0.9053	0.9292	-0.6641	26.9775	-28.3813	20.2026	144.5856	66.1157	-67.8461	23.86	1836	-8119	4268	4093	2644	2098	1777	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.07837	-0.75510	0.30795	0.57336	0	0.00	0.00	0.00
0x50	 06:11:22.034	 2024-05-02 22:27:12.912	-1.0786	0.8892	-0.3799	-33.7524	-11.1084	22.0947	143.5913	66.0278	-68.6865	23.80	1849	-8099	4298	4094	2651	2118	1781	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.07556	-0.75372	0.30881	0.57507	0	0.00	0.00	0.00
0x50	 06:11:22.034	 2024-05-02 22:27:12.922	-1.2129	0.8550	-0.2920	-68.7256	-10.3760	28.9307	142.1027	65.8740	-69.5819	23.73	1859	-8082	4312	4093	2671	2097	1776	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.06949	-0.75262	0.30795	0.57776	0	0.00	0.00	0.00
0x50	 06:11:22.034	 2024-05-02 22:27:12.932	-1.1743	0.9019	-0.2485	-67.0776	-14.4043	36.9873	140.4053	65.6818	-70.6531	23.80	1866	-8076	4317	4094	2685	2096	1772	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.06277	-0.75116	0.30725	0.58078	0	0.00	0.00	0.00
0x50	 06:11:22.037	 2024-05-02 22:27:12.942	-1.1543	0.9336	-0.1733	-46.0205	-18.0664	44.3115	138.7134	65.4675	-71.9165	23.99	1866	-8081	4312	4093	2675	2096	1777	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.05698	-0.74908	0.30795	0.58368	0	0.00	0.00	0.00
0x50	 06:11:22.048	 2024-05-02 22:27:12.952	-1.2275	0.9092	-0.1641	-32.7759	-29.3579	57.1289	136.9061	65.2368	-73.4985	23.80	1859	-8092	4295	4094	2681	2094	1772	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.05200	-0.74615	0.31015	0.58673	0	0.00	0.00	0.00
0x50	 06:11:22.057	 2024-05-02 22:27:12.962	-1.2896	0.7803	-0.2754	-35.7666	-49.0723	74.9512	134.6045	64.9951	-75.6464	23.80	1847	-8104	4265	4094	2634	2100	1780	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.04672	-0.74173	0.31342	0.59103	0	0.00	0.00	0.00
0x50	 06:11:22.067	 2024-05-02 22:27:12.972	-1.3677	0.6084	-0.4507	-41.9922	-63.1714	86.8530	131.8524	64.7314	-78.2281	23.80	1830	-8124	4230	4094	2683	2096	1772	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.04089	-0.73608	0.31708	0.59653	0	0.00	0.00	0.00
0x50	 06:11:22.078	 2024-05-02 22:27:12.982	-1.4985	0.5254	-0.1440	-78.8574	-73.4253	88.5010	128.7048	64.4623	-80.9308	23.80	1805	-8152	4190	4093	2682	2095	1774	101601	-22.95	0.00000000	0.00000000	0.0	0.0	0.000	0.03336	-0.72995	0.31931	0.60333	0	0.00	0.00	0.00
0x50	 06:11:22.089	 2024-05-02 22:27:12.992	-1.5938	0.3643	0.1626	-98.7549	-89.2334	93.8110	125.0464	64.1931	-83.9081	23.86	1773	-8187	4140	4093	2673	2092	1773	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	0.02435	-0.72281	0.32019	0.61182	0	0.00	0.00	0.00
0x50	 06:11:22.097	 2024-05-02 22:27:13.002	-1.5747	0.1177	0.1851	-102.9053	-107.6660	100.2808	121.0419	63.9020	-87.2314	23.73	1735	-8226	4076	4094	2726	2116	1779	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	0.01535	-0.71436	0.32101	0.62152	0	0.00	0.00	0.00
0x50	 06:11:22.108	 2024-05-02 22:27:13.012	-1.4321	0.0889	0.1123	-98.1445	-112.3047	105.8350	116.9495	63.5284	-90.6702	23.73	1690	-8272	3995	4093	2672	2092	1773	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	0.00650	-0.70520	0.32199	0.63156	0	0.00	0.00	0.00
0x50	 06:11:22.118	 2024-05-02 22:27:13.022	-1.2163	0.1216	-0.1841	-77.4536	-115.3564	108.4595	113.0713	63.0560	-94.0540	23.67	1640	-8324	3903	4094	2746	2097	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.00134	-0.69565	0.32376	0.64120	0	0.00	0.00	0.00
0x50	 06:11:22.128	 2024-05-02 22:27:13.032	-1.0439	0.1348	-0.5732	-51.1475	-97.3511	109.1919	109.8523	62.4353	-97.0148	23.67	1582	-8382	3807	4092	2672	2100	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.00793	-0.68674	0.32697	0.64908	0	0.00	0.00	0.00
0x50	 06:11:22.138	 2024-05-02 22:27:13.042	-1.1494	0.1270	-0.4893	-2.9907	-79.0405	114.2578	107.5781	61.6608	-99.3988	23.86	1522	-8437	3716	4094	2643	2098	1779	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.01288	-0.67899	0.33255	0.65430	0	0.00	0.00	0.00
0x50	 06:11:22.150	 2024-05-02 22:27:13.052	-1.1948	0.2676	-0.3374	46.3867	-72.9980	128.6011	106.0510	60.7269	-101.5302	23.73	1455	-8493	3625	4092	2659	2093	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.01556	-0.67142	0.34161	0.65735	0	0.00	0.00	0.00
0x50	 06:11:22.159	 2024-05-02 22:27:13.062	-1.2251	0.4175	-0.2563	74.7681	-68.4204	145.4468	104.9524	59.5898	-103.5352	23.86	1382	-8549	3547	4094	2664	2100	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.01764	-0.66360	0.35333	0.65906	0	0.00	0.00	0.00
0x50	 06:11:22.169	 2024-05-02 22:27:13.072	-1.2300	0.5532	-0.3193	117.0654	-63.1104	158.8745	104.3811	58.3044	-105.4138	23.67	1300	-8600	3491	4094	2662	2093	1776	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.01828	-0.65555	0.36798	0.65909	0	0.00	0.00	0.00
0x50	 06:11:22.178	 2024-05-02 22:27:13.082	-0.9888	0.7661	-0.5313	122.1924	-47.7905	166.5649	104.2438	56.8982	-106.9958	23.80	1206	-8643	3456	4094	2648	2101	1778	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.01898	-0.64786	0.38391	0.65756	0	0.00	0.00	0.00
0x50	 06:11:22.189	 2024-05-02 22:27:13.092	-0.6069	0.8296	-0.8896	30.0903	-3.8452	158.7524	104.1174	55.4150	-107.8418	23.80	1100	-8686	3444	4093	2737	2095	1776	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.02432	-0.64215	0.39597	0.65585	0	0.00	0.00	0.00
0x50	 06:11:22.201	 2024-05-02 22:27:13.102	-0.6787	0.5757	-0.9751	-105.0415	63.9648	120.3613	103.7164	54.0912	-107.4792	23.80	983	-8727	3446	4094	2661	2087	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.03708	-0.64066	0.39877	0.65503	0	0.00	0.00	0.00
0x50	 06:11:22.208	 2024-05-02 22:27:13.112	-0.8228	0.8896	-0.6294	-211.4258	79.9561	83.6792	102.7771	53.1079	-106.1664	23.80	863	-8773	3446	4094	2665	2097	1776	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.05612	-0.64282	0.39127	0.65610	0	0.00	0.00	0.00
0x50	 06:11:22.218	 2024-05-02 22:27:13.122	-0.8975	0.5181	-0.6328	-247.0703	58.5327	48.2788	101.1841	52.4487	-105.1007	23.86	741	-8817	3418	4093	2673	2100	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.07535	-0.64410	0.37967	0.65970	0	0.00	0.00	0.00
0x50	 06:11:22.262	 2024-05-02 22:27:13.132	-0.7612	0.3193	-0.4634	-244.0796	26.3672	14.2822	99.2615	52.2235	-104.4141	23.80	629	-8859	3361	4094	2670	2096	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.09155	-0.64444	0.36594	0.66507	0	0.00	0.00	0.00
0x50	 06:11:22.264	 2024-05-02 22:27:13.142	-0.7607	0.1724	-0.3452	-211.4868	17.6392	-5.6152	97.4817	52.2729	-103.9142	23.73	528	-8904	3261	4094	2682	2094	1772	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.10413	-0.64459	0.35251	0.67029	0	0.00	0.00	0.00
0x50	 06:11:22.264	 2024-05-02 22:27:13.152	-0.6245	0.1230	-0.2148	-182.6782	19.1650	-11.7188	96.0370	52.4377	-103.3978	23.73	442	-8946	3143	4094	2672	2096	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.11429	-0.64517	0.34018	0.67444	0	0.00	0.00	0.00
0x50	 06:11:22.264	 2024-05-02 22:27:13.162	-0.6523	0.0684	-0.0933	-172.4243	21.3623	-10.4370	94.7791	52.6080	-102.8375	23.67	373	-8982	3008	4094	2754	2100	1773	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.12366	-0.64587	0.32870	0.67780	0	0.00	0.00	0.00
0x50	 06:11:22.271	 2024-05-02 22:27:13.172	-0.6035	0.1343	-0.0503	-175.5981	24.2920	-2.6245	93.5321	52.7124	-102.2443	23.86	317	-9012	2870	4094	2733	2119	1780	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.13354	-0.64642	0.31735	0.68079	0	0.00	0.00	0.00
0x50	 06:11:22.279	 2024-05-02 22:27:13.182	-0.6118	0.1733	-0.0469	-185.8521	26.0620	10.3149	92.2137	52.7124	-101.6455	23.80	272	-9034	2724	4093	2679	2097	1776	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.14456	-0.64645	0.30615	0.68365	0	0.00	0.00	0.00
0x50	 06:11:22.289	 2024-05-02 22:27:13.192	-0.7236	0.3545	-0.0503	-185.0586	29.0527	22.8271	90.9119	52.5970	-101.0028	23.86	235	-9049	2569	4094	2670	2096	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.15643	-0.64612	0.29538	0.68607	0	0.00	0.00	0.00
0x50	 06:11:22.299	 2024-05-02 22:27:13.202	-0.6748	0.3423	-0.0396	-178.5889	26.0620	33.8135	89.6100	52.3663	-100.4095	23.92	205	-9059	2408	4094	2667	2095	1774	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.16867	-0.64520	0.28555	0.68817	0	0.00	0.00	0.00
0x50	 06:11:22.309	 2024-05-02 22:27:13.212	-0.6196	0.3350	-0.0122	-173.4009	23.9258	38.8184	88.3630	52.0807	-99.8492	23.67	178	-9064	2242	4094	2679	2097	1775	101598	-22.70	0.00000000	0.00000000	0.0	0.0	0.000	-0.18076	-0.64395	0.27652	0.68997	0	0.00	0.00	0.00
0x50	 06:11:22.319	 2024-05-02 22:27:13.222	-0.4150	0.2451	-0.0117	-167.1143	23.0713	44.7998	87.1655	51.7511	-99.3219	23.86	152	-9066	2072	4093	2664	2096	1773	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.19266	-0.64240	0.26819	0.69150	0	0.00	0.00	0.00
0x50	 06:11:22.341	 2024-05-02 22:27:13.232	-0.7412	0.1914	-0.1997	-150.2075	35.9497	36.0107	86.2482	51.4929	-98.6298	23.92	120	-9065	1895	4093	2678	2100	1776	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.20346	-0.64172	0.26022	0.69208	0	0.00	0.00	0.00
0x50	 06:11:22.341	 2024-05-02 22:27:13.242	-0.6748	0.0859	-0.1250	-136.9629	40.6494	30.9448	85.5176	51.3062	-97.8387	23.73	87	-9060	1730	4093	2665	2091	1775	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.21341	-0.64166	0.25247	0.69199	0	0.00	0.00	0.00
0x50	 06:11:22.349	 2024-05-02 22:27:13.252	-0.6499	-0.0757	-0.0913	-116.8823	45.4712	25.2686	85.0397	51.1853	-96.9708	23.80	54	-9050	1568	4094	2671	2096	1775	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.22208	-0.64230	0.24542	0.69122	0	0.00	0.00	0.00
0x50	 06:11:22.359	 2024-05-02 22:27:13.262	-0.6104	-0.2017	-0.0039	-93.0786	47.1802	14.8926	84.7980	51.1743	-96.0864	23.73	25	-9036	1416	4093	2724	2120	1779	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.22882	-0.64368	0.23904	0.68997	0	0.00	0.00	0.00
0x50	 06:11:22.370	 2024-05-02 22:27:13.272	-0.5454	-0.2114	-0.0298	-62.1338	45.4102	7.7515	84.8199	51.2677	-95.2515	23.86	1	-9018	1271	4093	2654	2088	1780	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.23322	-0.64569	0.23395	0.68839	0	0.00	0.00	0.00
0x50	 06:11:22.379	 2024-05-02 22:27:13.282	-0.5293	-0.0298	-0.0215	-27.1606	45.8984	-5.2490	85.1770	51.4764	-94.4220	23.80	-16	-8997	1141	4093	2658	2088	1775	101600	-22.86	0.00000000	0.00000000	0.0	0.0	0.000	-0.23492	-0.64862	0.23019	0.68628	0	0.00	0.00	0.00
