StartTime: 2025-12-15 06:17:46.667
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
0x50	 06:17:46.667	 2024-05-02 22:33:35.592	-0.6787	0.4624	0.5405	-19.9585	9.7046	2.1973	40.6714	44.9945	-173.2214	24.55	2773	-7951	2713	4093	2672	2093	1773	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.08148	0.37701	-0.29926	-0.87268	0	0.00	0.00	0.00
0x50	 06:17:46.667	 2024-05-02 22:33:35.602	-0.6846	0.4648	0.5444	-17.9443	9.4604	2.9907	40.5670	45.0385	-173.1445	24.68	2779	-7948	2709	4093	2660	2094	1777	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.08066	0.37762	-0.29813	-0.87286	0	0.00	0.00	0.00
0x50	 06:17:46.667	 2024-05-02 22:33:35.612	-0.6899	0.4780	0.5596	-14.8315	9.2163	4.4556	40.5066	45.0714	-173.0511	24.49	2783	-7947	2701	4094	2746	2108	1777	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07983	0.37814	-0.29727	-0.87302	0	0.00	0.00	0.00
0x50	 06:17:46.667	 2024-05-02 22:33:35.622	-0.6992	0.5024	0.5552	-12.8784	8.4229	6.5308	40.4736	45.0879	-172.9468	24.62	2782	-7949	2691	4094	2680	2095	1774	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07898	0.37857	-0.29669	-0.87311	0	0.00	0.00	0.00
0x50	 06:17:46.676	 2024-05-02 22:33:35.632	-0.7065	0.5156	0.5459	-15.3809	7.6294	8.8501	40.4407	45.0824	-172.8259	24.68	2782	-7954	2685	4093	2664	2104	1778	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07794	0.37885	-0.29605	-0.87329	0	0.00	0.00	0.00
0x50	 06:17:46.686	 2024-05-02 22:33:35.642	-0.6997	0.5088	0.5420	-20.0195	7.2021	9.2773	40.3802	45.0659	-172.6941	24.68	2781	-7960	2679	4093	2679	2095	1776	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07669	0.37912	-0.29517	-0.87360	0	0.00	0.00	0.00
0x50	 06:17:46.695	 2024-05-02 22:33:35.652	-0.6904	0.4756	0.5371	-24.3530	6.5918	9.1553	40.2649	45.0439	-172.5732	24.62	2780	-7968	2671	4092	2662	2089	1776	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07532	0.37936	-0.29395	-0.87402	0	0.00	0.00	0.00
0x50	 06:17:46.705	 2024-05-02 22:33:35.662	-0.6855	0.4365	0.5410	-29.1748	6.1035	7.5684	40.0946	45.0275	-172.4634	24.74	2777	-7974	2652	4093	2683	2095	1774	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07388	0.37961	-0.29230	-0.87457	0	0.00	0.00	0.00
0x50	 06:17:46.716	 2024-05-02 22:33:35.672	-0.6948	0.4150	0.5591	-31.0669	5.8594	5.7373	39.8749	45.0220	-172.3755	24.55	2773	-7976	2640	4094	2681	2094	1773	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07248	0.37994	-0.29034	-0.87521	0	0.00	0.00	0.00
0x50	 06:17:46.726	 2024-05-02 22:33:35.682	-0.7007	0.4160	0.5903	-29.8462	5.5542	5.2490	39.6497	45.0275	-172.3096	24.62	2764	-7978	2630	4094	2676	2096	1775	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07123	0.38028	-0.28839	-0.87582	0	0.00	0.00	0.00
0x50	 06:17:46.767	 2024-05-02 22:33:35.692	-0.7227	0.4282	0.6284	-25.2686	4.2114	5.1270	39.4574	45.0220	-172.2491	24.62	2754	-7981	2613	4094	2670	2088	1772	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.07013	0.38049	-0.28674	-0.87634	0	0.00	0.00	0.00
0x50	 06:17:46.767	 2024-05-02 22:33:35.702	-0.7559	0.4521	0.6660	-23.0103	1.8921	7.1411	39.2871	44.9890	-172.1997	24.62	2750	-7983	2593	4093	2658	2087	1775	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.06909	0.38049	-0.28531	-0.87689	0	0.00	0.00	0.00
0x50	 06:17:46.768	 2024-05-02 22:33:35.712	-0.7695	0.4922	0.6953	-26.3062	-1.5869	8.1177	39.0894	44.9286	-172.1667	24.81	2750	-7989	2578	4093	2679	2093	1773	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.06799	0.38022	-0.28378	-0.87759	0	0.00	0.00	0.00
0x50	 06:17:46.768	 2024-05-02 22:33:35.722	-0.7666	0.5034	0.6978	-28.3813	-4.7607	8.4839	38.8531	44.8352	-172.1558	24.62	2750	-7995	2563	4093	2736	2107	1776	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.06680	0.37970	-0.28207	-0.87845	0	0.00	0.00	0.00
0x50	 06:17:46.776	 2024-05-02 22:33:35.732	-0.7632	0.4702	0.6851	-29.7241	-8.9111	8.1787	38.5565	44.7089	-172.1832	24.68	2746	-8000	2547	4093	2654	2096	1775	101447	-10.15	0.00000000	0.00000000	0.0	0.0	0.000	-0.06570	0.37888	-0.28012	-0.87952	0	0.00	0.00	0.00
0x50	 06:17:46.786	 2024-05-02 22:33:35.742	-0.7788	0.4150	0.6538	-36.0107	-12.5122	4.8218	38.1720	44.5825	-172.2766	24.49	2740	-8007	2533	4093	2674	2096	1775	101448	-10.23	0.00000000	0.00000000	0.0	0.0	0.000	-0.06479	0.37790	-0.27765	-0.88080	0	0.00	0.00	0.00
0x50	 06:17:46.796	 2024-05-02 22:33:35.752	-0.7451	0.4111	0.6567	-41.6870	-13.2446	0.1221	37.6996	44.4672	-172.4249	24.62	2736	-8017	2517	4094	2672	2098	1775	101448	-10.23	0.00000000	0.00000000	0.0	0.0	0.000	-0.06406	0.37692	-0.27469	-0.88220	0	0.00	0.00	0.00
0x50	 06:17:46.806	 2024-05-02 22:33:35.762	-0.7524	0.3970	0.6724	-41.2598	-16.8457	0.6104	37.1832	44.3298	-172.6062	24.55	2733	-8023	2496	4093	2684	2096	1774	101448	-10.23	0.00000000	0.00000000	0.0	0.0	0.000	-0.06339	0.37576	-0.27151	-0.88373	0	0.00	0.00	0.00
